Cell,'Hmga2','Ascl1','Fos','Atf3','Hmga1','Eno1','Hes6','Trp53','Egr1','Zfp36l2','Sox11','Zfp57','Lyar','Ncoa1','Ets1','Zfp238','Prrx1','Lrrfip1','Klf6','Ebf1','Fosl1','Tfdp1','Id2','Zfp207','Bola2','Smarcb1','Phb','Jun','Aebp1','Phf5a','Plagl1','Nfkbia','Snai2','Tsc22d3','Tgif1','Fosb','Rorc','Maf','Tet2','Ezh2','Ddit3','Hbp1','Myc','Tcf19','Nfic','Ssrp1','Zmat5','Sox9','Zfp260','Stat6','Phb2','Scx','Bola3','Atf4','Zbtb20','Csda','Tcf12','Foxp2','Tcf4','Matr3','Fubp1','Tsc22d1','Atoh8','Mef2a','Creb3','Nono','Noc4l','Tax1bp3','Cenpt','Maf1','Sp1','Stat1','Sfpq','Zfp317','Nr1d1','Fosl2','Gatad1','Dnajc2','Foxs1','Mef2c','Kdm5b','Nfe2l1','Pcbp1','Irf9','Khsrp','Nfyb','Nfia','Creb3l1','Pcbp2','Mier1','Klf4','Rela','Mkx','Junb','Nr2f2','Dnmt3a','Runx1t1','Klf10','Zeb2','Zfhx4'
"'""d2_induced""'",0,5.842,0,0,0,0,9.2857,7.6301,0,0,4.2635,0,0,3.9414,0,7.0289,1.3657,0,0,0,0,0,10.851,2.5212,7.35,0,0,2.002,1.6456,3.003,0,0,4.2821,2.7278,3.2794,0,0,5.388,4.3489,4.2777,0,8.7805,0,0,2.0126,2.239,0,1.6105,4.5805,2.7379,0,4.5874,6.8777,0,0,0,5.6797,6.7015,6.2031,7.3439,4.2715,0,0,6.1569,7.2362,6.9425,0,4.2379,0,0,1.6769,2.2941,6.3547,5.4618,0,0,5.6605,4.9994,0,0,6.6373,3.4484,5.7907,4.0497,5.6641,0,5.7848,0,6.5344,4.9017,0,4.2457,6.083,0,6.3046,2.7985,7.1915,6.7141,3.7748,0
"'""d2_induced""'",0,6.668,5.9951,0,0,2.0298,8.3116,3.8808,0,0,7.7372,0,2.3835,4.5326,0,3.6537,0,2.2434,0,5.2536,0,2.425,10.737,6.5596,0,0,0,0,4.4568,0.47595,0,4.4044,0,4.677,7.5006,0,0,4.4926,4.6362,0,0,5.7542,0,0,2.156,0,0,6.0454,6.6627,0,0,3.6913,0,0,0,2.9284,6.5482,4.8632,5.4545,5.6555,4.5001,2.8069,3.9018,4.7602,6.6931,7.3849,0,7.4952,0,2.7899,0,0,5.6008,6.2485,0,0,6.4152,3.2339,0,0,4.5292,0.28788,3.362,0,1.4053,0,4.1307,4.9816,4.9485,5.1468,0,4.2672,5.8416,0,3.7225,4.8904,5.6416,6.4256,0,1.2352
"'""d2_induced""'",0,5.8153,0,0,3.552,0,6.1632,6.6457,0,0,1.5812,7.3062,0,4.9617,0,4.2475,0.88682,5.8292,0,0,0,0,11.077,6.2407,0,0,0,0,0,5.057,0,1.9305,5.6274,0,6.8399,0,0,8.034,4.7232,0,0,8.1149,0,0,0,0,0,7.3771,0,3.3923,0,1.8993,0,0,4.2301,0,5.2012,5.37,3.7907,7.0072,3.7192,0,0,0,0,2.2188,0,7.5796,0,0,2.8431,0,3.3898,5.1287,0,0,6.5166,0,0,0,5.0034,1.5539,5.7733,0,1.0605,4.8183,3.0463,6.1548,2.0314,0,0,0,0,0,3.8738,0,7.349,5.0207,0,4.1439
"'""d2_intermediate""'",0,0,0,0,5.0931,5.3143,0,3.1155,0,0,0,0,5.1829,0,0,0,4.8862,0,0,0,0,0,0,0.923,6.2855,7.2112,3.0387,0,0,7.0623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2873,6.8432,0,0,0,6.736,7.1217,0,8.7842,0,0,7.3671,0,0,0,8.1767,0,0,0,0,0,5.3202,0,0,0,0,0,0,0,0,0,0,8.1727,6.569,0,0,0,3.2459,0,6.8978,4.1715,0,0,0,7.852,0,0,3.282,0,0,0,0,0,0,0,0
"'""d2_intermediate""'",4.8813,5.0603,5.5669,0,0,4.2253,4.6464,4.8653,6.9619,4.3648,5.0802,3.2551,4.6498,4.5542,0,4.4358,4.6997,0,3.6994,0,2.9848,3.933,9.3178,6.836,2.6675,5.0316,2.8407,0,2.3205,2.5101,0,2.9957,5.2457,1.0492,1.2209,0,0,2.5489,0.027135,6.3105,0,6.5003,0.73812,1.3724,0,4.6266,4.101,4.042,5.5506,0,5.1526,0.97102,6.0019,7.6096,0,6.8489,6.7386,3.1888,3.1007,6.2834,4.4381,4.6171,1.573,5.7939,6.0941,6.8915,5.1445,6.5686,1.226,3.8557,2.6707,0,4.9534,5.277,0,5.6281,6.6082,5.5586,0,0,0,4.4554,5.1773,0,2.9914,0,4.573,4.1807,5.5899,6.0103,0,0,0,0,3.4092,4.0415,5.7552,6.3532,0,0
"'""d2_induced""'",0,8.6135,0,0,0,0,8.153,3.1507,3.9335,0,5.425,0,0,4.5066,0,5.969,0,0,3.8604,0,0,0,9.9188,5.701,4.4731,0,2.0173,0,2.8327,0.71507,0,5.0091,0,3.15,5.6263,0,0,4.77,2.8174,0,0,0.18085,2.1314,0,1.2486,3.8297,0,5.017,1.5645,0,5.6119,0,0,3.6429,0,2.7084,7.7872,4.1006,4.1393,5.1185,3.2622,5.4248,4.3619,3.421,6.7458,2.2805,0,6.3338,0,4.2488,4.5165,0,5.396,4.9215,0,0,5.1699,4.9845,0,0,5.9952,1.749,3.9466,0,4.8237,0.81226,3.1102,0,5.1921,5.1052,0,0,0,0,3.8446,3.1684,5.6431,6.2688,1.0834,3.3793
"'""d2_intermediate""'",7.0586,1.2907,0,4.6746,0,2.3703,5.7973,4.2663,5.3485,0.40154,3.6599,3.1834,5.3272,2.9877,5.1513,1.7896,5.5673,4.4462,6.9933,0.30058,0,5.2412,8.8565,7.5415,5.1463,3.5988,4.1162,0.75262,0,5.5009,0,0.87116,3.7244,0,4.2068,0,0,4.1624,3.2917,4.0824,3.2391,2.9643,3.7824,2.8328,1.5479,5.7748,1.1071,4.1576,3.7649,0.4808,5.6137,0,7.0373,6.5582,4.0183,5.6008,3.6306,0,2.8933,6.0037,3.4314,5.4476,0,0,6.5545,6.2541,5.0088,5.4786,0.686,0,3.4876,0,4.2978,3.0391,0,3.3202,6.5972,4.0408,0,0,0.52835,0,4.5344,4.8476,3.7626,3.2682,4.7986,3.5302,6.3537,5.0608,4.033,1.0048,5.3308,0,5.3094,0,5.8391,1.408,3.282,0.46252
"'""d2_induced""'",0,2.7673,6.2761,0,0,2.5923,4.8012,6.5903,5.5797,5.751,0,8.1632,0,4.0254,0,3.8396,3.9555,0.63037,1.8793,7.0553,0,5.2966,10.59,6.61,5.09,4.4759,0.69017,0.56893,4.8668,0,1.7481,3.619,4.7913,0.73599,3.5671,0,0,4.8459,0,4.268,0,6.821,0,0,1.9108,1.55,0,5.9406,5.3931,0,3.3437,3.2363,0,6.7711,1.8203,2.6034,4.6708,3.8692,5.1652,7.5999,6.8768,2.8416,0,0,0,6.4219,0,6.8217,1.4968,4.8754,5.2862,0,5.7664,5.8128,0,0,5.4395,0,0,0,4.5702,1.6754,1.812,4.9048,2.5919,0,6.77,6.8553,5.2843,6.3744,4.7961,3.8199,6.6355,0,5.256,0,5.3806,3.6391,4.6988,2.6119
"'""d2_induced""'",0,6.8832,2.4528,0,0,0,7.7963,4.4361,5.5869,0,6.8259,5.1331,3.1294,6.1232,0,4.9749,5.6383,4.4944,0,5.6229,0,0,9.7954,7.2125,3.2462,3.4807,0.88813,0,2.9487,0,0,5.1224,0,1.3267,4.5708,0,0,3.1798,2.6163,1.6039,0,5.8291,0,0,0,0,0,6.0422,0.75694,0,0.34732,0,0,6.7109,0,4.7782,6.512,4.5506,5.7623,6.2712,6.1412,6.6625,3.9197,3.6098,4.1844,5.8317,0,7.4882,0,0,1.644,0,4.3135,6.5,0,4.0253,6.349,1.2742,0,0,2.6645,3.0973,1.5945,0,1.8155,4.5441,5.9694,2.8392,5.0774,0,0,0,3.0721,1.4368,4.3124,1.8831,7.7973,6.6834,0.73971,0
"'""d2_intermediate""'",8.7139,2.0922,4.8245,0,0,2.006,4.3087,6.734,6.0556,4.0331,7.4843,3.1686,5.9919,3.8689,2.4881,0.79961,5.6641,4.2252,4.7761,3.576,0.49155,4.5904,8.5046,3.696,2.7833,6.2285,4.9607,2.1915,4.0621,5.6019,0,3.5028,0,0,0,0,0,4.0618,2.6013,5.9915,0,7.6176,2.5294,0,1.372,4.5363,0.73891,5.5363,6.1983,3.6042,3.5609,0.064927,6.1672,6.0435,0.10556,5.5125,5.9353,0,2.8397,6.9716,3.308,6.4174,0,0,6.2411,5.0881,0,5.9319,0,0,2.317,1.9012,5.7185,6.4984,0,5.0598,5.8518,4.7168,1.8161,2.9613,2.9071,2.2414,2.5811,0,2.4289,5.1561,5.2669,4.6004,5.5855,6.5239,5.1624,4.3087,5.0778,0,5.808,2.8618,4.5094,5.0545,1.6629,2.0451
