cell,'GATA6','NANOG','T','EOMES','ID2','PRDM1','ID1','ZNF516','SHOX2','TBX3','GATA4','OTX2','HAND1','NFIB','SOX2','MSX1','KLF8','GRHL2','ZNF521','BHLHE40','TFAP2A','GATA3','ZEB2','BNC2','KAT7','NFE2L3','ZEB1','FOXF1','PITX2','HOXB3','ID4','ZNF165','TCF7L2','POU5F1','SP5','ZIC3','TRPS1','ID3','AEBP2','CDX1','TCF7L1','MIER1','KLF6','MYCN','SMAD2','PLAGL1','ZSCAN10','ZNF652','HOXB6','MSX2','SOX5','ZFP36L2','LEF1','BCL11A','HBP1','IRX3','MEIS2','ZFX','TERF1','TOX','FOXH1','HESX1','SOX11','KLF10','ZIC5','BBX','RNF138','SATB1','BAZ2B','ELK3','ZBTB2','ETV5','SP6','ZFP42','TULP4','ZNF471','ARID4B','SNAI2','ZNF483','MAF','ETV6','ZKSCAN1','ETV1','TMF1','HIF3A','SALL2','SHOX','SALL1','SMAD7','ZNF587','SOX17','ZFP62','SRF','JUND','TUB','ZFP14','ARID3A','CEBPZ','E2F4','TCF7'
0,0,5.9957,0,0,3.1781,0,2.4849,5.1874,0,0,0,4.5747,0,5.1648,3.8712,0,1.981,4.3694,0,0,0,0,0,5.591,6.6682,5.9558,0.69315,0,0,0,0,4.9904,5.2679,5.3592,0,1.0986,0,4.9767,7.6476,0,3.9512,6.6066,2.4849,3.2189,6.9847,0,3.6109,6.2069,0,0,0.69315,6.2916,0,5.0562,4.5643,0,0,5.6221,8.4541,4.8283,2.9957,4.6147,7.5951,0,4.382,5.4847,5.4424,2.3026,5.0304,0,5.0499,4.4773,0,5.553,5.925,6.057,6.3261,0,4.4072,4.2195,4.9618,3.0643,2.7726,4.8521,2.5557,6.0112,3.7038,0,4.1897,5.8052,0,4.7185,2.7726,2.1972,4.4359,3.0502,0.69315,7.491,3.6889,0.85442
0,0,6.1409,0,0,2.6391,0,2.4849,4.0775,0,0,0,0,0,4.2047,4.4429,0,0.59333,4.4754,1.7918,0,0,0,0,3.7119,5.4161,4.4659,0,0,0,0,0,4.4543,4.7362,4.7067,0,1.6094,1.0986,4.7095,6.9715,0,4.0254,6.8134,2.0794,2.5649,6.643,0,3.8067,6.0894,0,0.69315,0,3.9318,0,5.247,5.7138,0,0,6.7622,7.5845,3.2958,2.3026,2.3979,7.8179,0,3.2581,1.3863,6.0088,4.2905,4.8225,1.6094,0.69315,3.3673,0,5.5851,4.7855,4.8941,5.5053,0,4.2905,3.176,5.1818,1.3429,4.4886,4.4591,1.6938,4.9624,3.324,4.3944,0,3.5444,0,0.69315,1.7918,2.3026,5.2742,3.7488,0,6.463,4.0775,0.69315
0,0,5.9893,0,0,4.4773,0,1.6094,3.3322,0,0,0,2.1972,0,0,1.7918,0,0,4.4878,4.4659,0,0,0,0,2.8904,3.6109,4.3037,0,0,0,0,0,5.7777,5.8147,4.6586,0,4.7449,2.1972,5.6937,6.8805,0,3.7842,6.764,3.6109,3.8286,6.4955,0,4.0775,6.2293,0,2.0794,0,4.4539,0,5.137,0.69315,0,0,6.0471,8.0666,2.0794,4.0775,2.7726,7.4354,0,2.3026,5.112,4.9972,2.0794,5.0689,0,0.69315,4.4885,0,5.7272,5.3241,5.3183,4.4432,3.7612,3.421,2.7081,4.125,3.0155,3.7612,3.6533,2.2895,5.1761,2.9167,3.7842,1.0986,3.8582,0,5.4638,2.7726,2.4849,4.7344,3.3721,0,6.5834,3.8067,0
0,0,5.5087,0,0,1.9459,0,0.69315,3.8286,0,0,0,0,0,3.6636,3.4012,0,0.63658,2.8904,0,0,0,0,0,5.7104,4.3567,3.9703,0,0,0,0,0,3.6109,4.0073,4.845,0,4.2627,0,4.4886,5.5496,0,4.0254,6.0014,0,3.6643,5.7074,0,4.0604,5.4822,0,0,0,3.7612,0,5.8483,3.3793,0,0,5.0465,7.8942,0,2.9444,3.6109,5.6019,0,3.1781,4.0775,4.0604,5.0752,4.9972,0,2.3026,3.3322,0,5.236,2.7298,4.7451,4.7623,0,3.933,0.66783,3.8501,4.3536,3.0445,1.8197,3.3901,3.912,2.9826,2.8904,2.1972,2.8385,0,4.9053,1.6094,2.0794,4.4886,2.7726,0,5.8889,4.2905,0
0,0,5.7531,0,0,0.69315,0,3.4657,4.382,0,0,0,4.585,0,4.7095,4.4886,0,0.76081,4.0767,4.0073,0,0,1.0986,0,5.3253,5.6216,4.3307,0.69315,0,0,0,0,0,5.118,5.1553,0,0,0,5.1475,7.4419,0,4.0604,6.9214,2.3979,3.3322,6.2267,0,3.4012,6.1319,0,0,0,4.6634,0,6.7951,4.2195,0,0,4.9205,8.0077,2.5649,3.6636,4.5951,7.3421,1.7918,2.9957,4.4773,5.9661,5.7522,5.8608,0.69315,0,3.4654,0,5.9393,5.2996,5.3076,4.8203,0,4.7714,4.4308,1.9459,3.2056,3.912,5.1881,3.7211,5.7366,3.498,0,0,5.2041,0,2.4849,2.3979,0.69315,4.7827,4.3541,0,6.4085,4.2627,1.141
0,0,6.2437,0,0,3.8501,0,3.5264,3.5267,0,0,0,5.2149,0,3.1781,4.2341,0,0.19062,3.8918,4.8658,2.4849,0,0,0,4.5343,5.6768,5.0371,0,0,0,0,0,5.9617,5.0999,4.5898,0,4.4773,3.6636,4.8363,6.8508,0,3.7612,6.4846,1.6094,3.2581,6.8977,0,4.3307,5.7303,0,0,0,6.2058,0,5.1705,4.9612,0,0,6.2344,8.2639,0,3.2581,4.1589,7.4575,3.2958,2.9957,4.8123,6.2802,3.989,3.6636,0,3.8712,4.4545,0,5.5276,5.5273,4.5956,3.9954,0,3.3496,0,4.4188,3.0052,3.4965,4.7628,1.6233,4.804,3.4304,3.912,0,4.1471,0,0.69315,0.69315,2.3026,5.3603,3.1104,1.3863,6.0137,4.8978,1.0986
0,0,6.2116,0,0,0,0,0,4.5647,0,0,0,3.1781,0,5.6768,3.091,0,1.7901,4.9558,1.3863,0,0,0,0,1.0986,5.323,4.7622,0.65752,0,0,0,0,4.3567,5.5869,5.4836,0,0,4.1589,4.9488,7.3229,0,4.2767,6.4265,0,3.4657,6.6075,0,3.4965,5.2588,0,0,0,5.6904,0,5.3537,4.6077,0,0,6.7369,8.4308,3.6376,4.0431,4.0431,7.7497,4.7362,4.2485,5.0626,6.8112,2.6391,4.8828,0,1.0986,6.0355,0,6.2042,3.7493,5.2086,2.1972,0,4.4386,0,1.0986,1.8374,5.0562,1.2149,4.1446,5.761,3.4022,1.0986,0,4.7621,0,3.5264,3.6636,2.0794,5.059,3.1424,3.2932,6.0845,4.2341,1.5623
0,0,4.8008,0,0,4.9416,0,0,4.7791,0,0,0,4.585,0,0,3.7612,0,0,4.1484,0.69315,0,0,0,0,4.5243,5.425,3.091,0,0,0,0,0.69315,5.8408,4.745,5.0818,0,5.3799,4.4308,3.3322,7.2779,0,3.8918,6.2305,1.3863,3.1781,5.4196,0,4.6821,5.5746,0,2.4239,0,5.0108,0,3.8712,5.9374,0,0,5.79,7.6277,1.6094,2.7081,0,7.4308,0,4.19,5.2095,5.6732,4.1431,3.5264,0,3.091,2.8332,0,4.9274,5.575,5.4772,3.989,0,5.2644,3.1179,4.4998,3.1793,3.2958,3.2225,5.0402,4.804,3.6705,3.4657,3.2581,4.0408,0,5.5215,1.3863,1.6094,1.9459,4.6101,2.8332,5.8943,4.7622,0.95166
0,0,6.4871,0,0,1.0986,0,3.1781,4.3694,0,0,0,0,0,1.0986,3.7072,0,0.72271,3.3673,0,0,0,0,0,6.0211,5.9189,3.7377,0,0,3.7842,0,0,4.7675,5.9836,5.1058,0,1.6094,3.434,4.9053,6.3572,0,4.0943,5.2204,0,0,5.2914,0,4.9558,6.2177,0,0,0,4.8598,0,5.0876,0,0,0,5.6642,7.9683,0,4.0073,3.8918,7.44,4.0431,2.9444,5.2523,3.4111,1.0986,4.5109,0,0,4.6821,0,5.0243,6.136,4.2765,6.0981,0,4.067,3.1355,4.4998,2.0162,5.5872,0,3.2237,5.1059,3.4265,3.8067,3.6889,5.1782,0,3.3326,0.69315,2.8332,0,3.8102,0,4.8358,3.9318,0
0,0,5.9885,0,0,4.8283,0,0,4.9836,0,0,0,3.7377,0,0,3.8501,0,0,4.0943,1.3863,0,0,0,0,0.7031,6.2186,3.9512,0,0,0.69315,0,0,3.7377,4.9972,4.9422,0,4.8122,2.4849,4.1271,6.4053,0,3.6109,6.0137,3.2189,2.3026,5.7762,0,2.0794,5.6174,0,0,0,4.4427,1.3863,5.1171,1.2892,0,0,5.302,7.8617,3.2581,1.9459,3.9512,6.7558,4.4308,3.9705,5.0562,6.0638,2.9444,5.0999,0,4.5217,3.8712,0,5.4062,5.6946,4.7282,4.7095,0,3.6934,1.4255,0,3.0869,4.812,0,3.2839,5.4722,3.062,1.3863,0,5.3024,0,2.8332,0,0.69315,4.6505,5.081,2.1972,6.3315,4.2047,1.3137
